PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,Sex_male_encoded,FamilySize
1,0,3,22.0,1,0,7.25,True,False,True,1,2
2,1,1,38.0,1,0,71.2833,False,False,False,0,2
3,1,3,26.0,0,0,7.925,False,False,True,0,1
4,1,1,35.0,1,0,53.1,False,False,True,0,2
5,0,3,35.0,0,0,8.05,True,False,True,1,1
6,0,3,29.69911764705882,0,0,8.4583,True,True,False,1,1
7,0,1,54.0,0,0,51.8625,True,False,True,1,1
8,0,3,2.0,3,1,21.075,True,False,True,1,5
9,1,3,27.0,0,2,11.1333,False,False,True,0,3
10,1,2,14.0,1,0,30.0708,False,False,False,0,2
11,1,3,4.0,1,1,16.7,False,False,True,0,3
12,1,1,58.0,0,0,26.55,False,False,True,0,1
13,0,3,20.0,0,0,8.05,True,False,True,1,1
14,0,3,39.0,1,5,31.275,True,False,True,1,7
15,0,3,14.0,0,0,7.8542,False,False,True,0,1
16,1,2,55.0,0,0,16.0,False,False,True,0,1
17,0,3,2.0,4,1,29.125,True,True,False,1,6
18,1,2,29.69911764705882,0,0,13.0,True,False,True,1,1
19,0,3,31.0,1,0,18.0,False,False,True,0,2
20,1,3,29.69911764705882,0,0,7.225,False,False,False,0,1
21,0,2,35.0,0,0,26.0,True,False,True,1,1
22,1,2,34.0,0,0,13.0,True,False,True,1,1
23,1,3,15.0,0,0,8.0292,False,True,False,0,1
24,1,1,28.0,0,0,35.5,True,False,True,1,1
25,0,3,8.0,3,1,21.075,False,False,True,0,5
26,1,3,38.0,1,5,31.3875,False,False,True,0,7
27,0,3,29.69911764705882,0,0,7.225,True,False,False,1,1
28,0,1,19.0,3,2,263.0,True,False,True,1,6
29,1,3,29.69911764705882,0,0,7.8792,False,True,False,0,1
30,0,3,29.69911764705882,0,0,7.8958,True,False,True,1,1
31,0,1,40.0,0,0,27.7208,True,False,False,1,1
32,1,1,29.69911764705882,1,0,146.5208,False,False,False,0,2
33,1,3,29.69911764705882,0,0,7.75,False,True,False,0,1
34,0,2,66.0,0,0,10.5,True,False,True,1,1
35,0,1,28.0,1,0,82.1708,True,False,False,1,2
36,0,1,42.0,1,0,52.0,True,False,True,1,2
37,1,3,29.69911764705882,0,0,7.2292,True,False,False,1,1
38,0,3,21.0,0,0,8.05,True,False,True,1,1
39,0,3,18.0,2,0,18.0,False,False,True,0,3
40,1,3,14.0,1,0,11.2417,False,False,False,0,2
41,0,3,40.0,1,0,9.475,False,False,True,0,2
42,0,2,27.0,1,0,21.0,False,False,True,0,2
43,0,3,29.69911764705882,0,0,7.8958,True,False,False,1,1
44,1,2,3.0,1,2,41.5792,False,False,False,0,4
45,1,3,19.0,0,0,7.8792,False,True,False,0,1
46,0,3,29.69911764705882,0,0,8.05,True,False,True,1,1
47,0,3,29.69911764705882,1,0,15.5,True,True,False,1,2
48,1,3,29.69911764705882,0,0,7.75,False,True,False,0,1
49,0,3,29.69911764705882,2,0,21.6792,True,False,False,1,3
50,0,3,18.0,1,0,17.8,False,False,True,0,2
51,0,3,7.0,4,1,39.6875,True,False,True,1,6
52,0,3,21.0,0,0,7.8,True,False,True,1,1
53,1,1,49.0,1,0,76.7292,False,False,False,0,2
54,1,2,29.0,1,0,26.0,False,False,True,0,2
55,0,1,65.0,0,1,61.9792,True,False,False,1,2
56,1,1,29.69911764705882,0,0,35.5,True,False,True,1,1
57,1,2,21.0,0,0,10.5,False,False,True,0,1
58,0,3,28.5,0,0,7.2292,True,False,False,1,1
59,1,2,5.0,1,2,27.75,False,False,True,0,4
60,0,3,11.0,5,2,46.9,True,False,True,1,8
61,0,3,22.0,0,0,7.2292,True,False,False,1,1
62,1,1,38.0,0,0,80.0,False,False,True,0,1
63,0,1,45.0,1,0,83.475,True,False,True,1,2
64,0,3,4.0,3,2,27.9,True,False,True,1,6
65,0,1,29.69911764705882,0,0,27.7208,True,False,False,1,1
66,1,3,29.69911764705882,1,1,15.2458,True,False,False,1,3
67,1,2,29.0,0,0,10.5,False,False,True,0,1
68,0,3,19.0,0,0,8.1583,True,False,True,1,1
69,1,3,17.0,4,2,7.925,False,False,True,0,7
70,0,3,26.0,2,0,8.6625,True,False,True,1,3
71,0,2,32.0,0,0,10.5,True,False,True,1,1
72,0,3,16.0,5,2,46.9,False,False,True,0,8
73,0,2,21.0,0,0,73.5,True,False,True,1,1
74,0,3,26.0,1,0,14.4542,True,False,False,1,2
75,1,3,32.0,0,0,56.4958,True,False,True,1,1
76,0,3,25.0,0,0,7.65,True,False,True,1,1
77,0,3,29.69911764705882,0,0,7.8958,True,False,True,1,1
78,0,3,29.69911764705882,0,0,8.05,True,False,True,1,1
79,1,2,0.83,0,2,29.0,True,False,True,1,3
80,1,3,30.0,0,0,12.475,False,False,True,0,1
81,0,3,22.0,0,0,9.0,True,False,True,1,1
82,1,3,29.0,0,0,9.5,True,False,True,1,1
83,1,3,29.69911764705882,0,0,7.7875,False,True,False,0,1
84,0,1,28.0,0,0,47.1,True,False,True,1,1
85,1,2,17.0,0,0,10.5,False,False,True,0,1
86,1,3,33.0,3,0,15.85,False,False,True,0,4
87,0,3,16.0,1,3,34.375,True,False,True,1,5
88,0,3,29.69911764705882,0,0,8.05,True,False,True,1,1
89,1,1,23.0,3,2,263.0,False,False,True,0,6
90,0,3,24.0,0,0,8.05,True,False,True,1,1
91,0,3,29.0,0,0,8.05,True,False,True,1,1
92,0,3,20.0,0,0,7.8542,True,False,True,1,1
93,0,1,46.0,1,0,61.175,True,False,True,1,2
94,0,3,26.0,1,2,20.575,True,False,True,1,4
95,0,3,59.0,0,0,7.25,True,False,True,1,1
96,0,3,29.69911764705882,0,0,8.05,True,False,True,1,1
97,0,1,71.0,0,0,34.6542,True,False,False,1,1
98,1,1,23.0,0,1,63.3583,True,False,False,1,2
99,1,2,34.0,0,1,23.0,False,False,True,0,2
100,0,2,34.0,1,0,26.0,True,False,True,1,2
101,0,3,28.0,0,0,7.8958,False,False,True,0,1
102,0,3,29.69911764705882,0,0,7.8958,True,False,True,1,1
103,0,1,21.0,0,1,77.2875,True,False,True,1,2
104,0,3,33.0,0,0,8.6542,True,False,True,1,1
105,0,3,37.0,2,0,7.925,True,False,True,1,3
106,0,3,28.0,0,0,7.8958,True,False,True,1,1
107,1,3,21.0,0,0,7.65,False,False,True,0,1
108,1,3,29.69911764705882,0,0,7.775,True,False,True,1,1
109,0,3,38.0,0,0,7.8958,True,False,True,1,1
110,1,3,29.69911764705882,1,0,24.15,False,True,False,0,2
111,0,1,47.0,0,0,52.0,True,False,True,1,1
112,0,3,14.5,1,0,14.4542,False,False,False,0,2
113,0,3,22.0,0,0,8.05,True,False,True,1,1
114,0,3,20.0,1,0,9.825,False,False,True,0,2
115,0,3,17.0,0,0,14.4583,False,False,False,0,1
116,0,3,21.0,0,0,7.925,True,False,True,1,1
117,0,3,70.5,0,0,7.75,True,True,False,1,1
